Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
1,Boat,7,Pred,late,wrong,Long,peppapig late t,2.451394528,0.702174755,3.729309333,6.180703861,6.663455732,0.48275187,2451.394528,702.1747548,3729.309333,6180.703861,6663.455732,482.7518704,n,1,
1,Boat,8,Pred,early,wrong,Long,bobthebuilder early t,2.771003899,0.703840225,3.715239602,6.486243501,7.673143411,1.18689991,2771.003899,703.8402254,3715.239602,6486.243501,7673.143411,1186.89991,n,1,disfluent response = eh no
1,Boat,9,Pred,late,right,Long,bobthebuilder late_t,2.848867466,0.901207566,4.998638306,7.847505772,7.989684873,0.142179101,2848.867466,901.2075663,4998.638306,7847.505772,7989.684873,142.1791008,y,1,
1,Boat,10,Pred,early,wrong,Short,george early_t,2.294703376,0.63729721,3.730443945,6.025147321,6.350004679,0.324857358,2294.703376,637.2972098,3730.443945,6025.147321,6350.004679,324.8573581,n,1,
1,Boat,11,Pred,early,right,Long,peppapig early_t,2.736596685,0.656570193,3.67346265,6.410059335,6.731767712,0.321708377,2736.596685,656.5701928,3673.46265,6410.059335,6731.767712,321.7083765,y,1,
1,Boat,12,Pred,early,wrong,Long,winniethepooh early_t,2.63895471,0.650165007,3.685300068,6.324254777,6.680809119,0.356554342,2638.95471,650.165007,3685.300068,6324.254777,6680.809119,356.5543416,n,1,
1,Boat,13,Pred,late,wrong,Short,mike late_t,2.428055177,0.604764456,3.702475514,6.130530691,6.803174705,0.672644014,2428.055177,604.7644558,3702.475514,6130.530691,6803.174705,672.6440142,n,1,
1,Boat,14,Pred,late,right,Short,buzz late_t,2.387394418,0.533221727,3.73468565,6.122080068,6.803140601,0.681060532,2387.394418,533.2217272,3734.68565,6122.080068,6803.140601,681.0605323,y,1,
1,Boat,15,Pred,late,wrong,Long,nannyplum late t,2.659222106,0.864297731,3.683779913,6.343002019,7.335907363,0.992905344,2659.222106,864.2977311,3683.779913,6343.002019,7335.907363,992.9053445,n,1,
1,Boat,16,Pred,late,right,Long,postmanpat ;ate t,2.784457226,0.589854269,3.666679941,6.451137167,6.894466506,0.443329338,2784.457226,589.8542686,3666.679941,6451.137167,6894.466506,443.3293384,y,1,
1,Boat,18,Pred,early,right,Long,nannyplum early t,2.815834329,0.64123263,3.709235736,6.525070065,6.478444018,-0.046626047,2815.834329,641.2326296,3709.235736,6525.070065,6478.444018,-46.62604708,y,1,
1,Boat,20,Pred,late,wrong,Long,suzysheep late t,2.684957447,0.863364499,3.691594526,6.376551972,6.71387195,0.337319978,2684.957447,863.364499,3691.594526,6376.551972,6713.87195,337.3199778,n,1,
1,Boat,22,Pred,late,right,Long,winniethepooh late t,2.584069481,0.748315574,3.685273914,6.269343395,7.839854097,1.570510701,2584.069481,748.3155745,3685.273914,6269.343395,7839.854097,1570.510701,y,1,
1,Boat,23,Pred,early,wrong,Short,buzz early t,2.241138128,0.636683664,3.727774217,5.968912345,6.176781921,0.207869577,2241.138128,636.6836642,3727.774217,5968.912345,6176.781921,207.8695767,n,1,
1,Boat,24,Pred,late,right,Short,spot late_t,2.471314309,0.679273864,3.708550495,6.179864803,7.039079258,0.859214454,2471.314309,679.2738636,3708.550495,6179.864803,7039.079258,859.2144543,y,1,
1,Cave,1,Pred,early,right,Long,thefatcontroller early t,3.002791755,0.622268926,3.903163688,6.905955443,7.374114686,0.468159242,3002.791755,622.2689258,3903.163688,6905.955443,7374.114686,468.1592424,y,1,NOTE - disfluent response. Says eh yes but 3sec (approx) gap between eh and yes
1,Cave,2,Pred,late,wrong,Short,olaf late t,2.338641446,0.521193701,3.672801432,6.011442878,6.624796688,0.61335381,2338.641446,521.1937014,3672.801432,6011.442878,6624.796688,613.3538097,n,1,
1,Cave,3,Pred,early,right,Long,captainbarnacles early_t,2.955899825,0.647505008,3.75236675,6.708266575,7.786058226,1.077791651,2955.899825,647.505008,3752.36675,6708.266575,7786.058226,1077.791651,y,1,
1,Cave,4,Pred,early,wrong,Short,dipsy early_t,2.358514381,0.63563879,3.677334199,6.03584858,6.129996108,0.094147528,2358.514381,635.6387902,3677.334199,6035.84858,6129.996108,94.14752754,n,1,
1,Cave,5,Pred,late,right,Short,elsa late_t,2.335539786,0.545200873,3.71445843,6.049998216,7.173277024,1.123278809,2335.539786,545.2008731,3714.45843,6049.998216,7173.277024,1123.278809,y,1,
1,Cave,7,Pred,early,wrong,Long,lighteningmcqueen early_t,3.282357093,0.606022127,3.718288442,7.000645535,8.867044769,1.866399234,3282.357093,606.0221273,3718.288442,7000.645535,8867.044769,1866.399234,n,1,disfluent response - eh eh eh no
1,Cave,8,Pred,early,right,Short,gaston early t,2.32371559,0.606655136,3.686358052,6.010073642,6.188220985,0.178147343,2323.71559,606.6551359,3686.358052,6010.073642,6188.220985,178.1473434,y,1,
1,Cave,9,Pred,late,right,Short,dipsy late t,2.378185647,0.511162408,3.682082018,6.060267665,6.562634091,0.502366426,2378.185647,511.1624077,3682.082018,6060.267665,6562.634091,502.3664257,y,1,
1,Cave,10,Pred,early,wrong,Long,princesssofia early_t,2.951823875,0.620855844,3.684476167,6.636300042,7.101475699,0.465175656,2951.823875,620.8558443,3684.476167,6636.300042,7101.475699,465.1756561,n,1,
1,Cave,11,Pred,early,right,Short,dora early t,2.210538609,0.63941069,3.684790447,5.895329056,6.070840286,0.17551123,2210.538609,639.4106902,3684.790447,5895.329056,6070.840286,175.5112301,y,1,
1,Cave,12,Pred,late,wrong,Long,rebeccarabbit late t,2.825828804,1.035850888,3.681836204,6.507665008,7.209336375,0.701671367,2825.828804,1035.850888,3681.836204,6507.665008,7209.336375,701.6713665,n,1,
1,Cave,13,Pred,late,wrong,Long,thefatcontroller late_t,2.8722631,1.02613125,3.676946055,6.549209155,7.651714761,1.102505606,2872.2631,1026.13125,3676.946055,6549.209155,7651.714761,1102.505606,n,1,
1,Cave,14,Pred,early,wrong,Long,spongebobsquarepants early t,3.382132711,0.626731413,3.641116153,7.023248864,7.4330174,0.409768536,3382.132711,626.7314134,3641.116153,7023.248864,7433.0174,409.7685358,n,1,
1,Cave,15,Pred,late,wrong,Long,captainbarnacles late t,3.09095059,1.239002251,3.720824616,6.811775206,7.421090585,0.609315379,3090.95059,1239.002251,3720.824616,6811.775206,7421.090585,609.3153791,n,1,response - mmmm let m thinkƒ no
1,Cave,16,Pred,early,right,Long,rebeccarabbit early_t,2.782180801,0.622110055,3.726731898,6.508912698,6.93760056,0.428687862,2782.180801,622.110055,3726.731898,6508.912698,6937.60056,428.6878619,y,1,
1,Cave,18,Pred,late,right,Long,spongebobsquarepants late_t ,3.145835352,1.51600541,3.683042219,6.828877571,7.514305973,0.685428403,3145.835352,1516.00541,3683.042219,6828.877571,7514.305973,685.4284026,y,1,
1,Cave,19,Pred,late,right,Short,tigger late_t,2.152039339,0.393220137,3.674096677,5.826136015,7.247610375,1.42147436,2152.039339,393.2201371,3674.096677,5826.136015,7247.610375,1421.47436,y ,0,disfluent response - eh yes
1,Cave,20,Pred,late,wrong,Short,dora late_t,2.370847608,0.457950277,3.700472946,6.071320555,6.423425702,0.352105148,2370.847608,457.9502766,3700.472946,6071.320555,6423.425702,352.1051478,n,1,
