Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
6,Jungle,9,Unpred,late,wrong,Long,princessholly late p,2.622253037,0.839874884,3.692857804,6.315110841,6.859073163,0.543962321,2622.253037,839.8748844,3692.857804,6315.110841,6859.073163,543.9623215,n,1,NA
6,Jungle,10,Unpred,early,right,Short,swiper early p,2.76453971,0.815309759,3.800165428,6.564705138,6.96446738,0.399762242,2764.53971,815.3097585,3800.165428,6564.705138,6964.46738,399.7622422,y,1,NA
6,Jungle,11,Unpred,late,right,Long,thegruffalo late t,2.497631971,0.628409837,3.654754321,6.152386292,6.586190822,0.43380453,2497.631971,628.4098365,3654.754321,6152.386292,6586.190822,433.80453,y,1,NA
6,Jungle,12,Unpred,late,right,Short,anna late p,2.447295407,0.638739622,3.726342054,6.17363746,6.525361969,0.351724508,2447.295407,638.7396222,3726.342054,6173.63746,6525.361969,351.7245083,y,1,NA
6,Jungle,13,Unpred,early,wrong,Long,docmcstuffins early t,2.891877772,0.630524301,3.750568299,6.642446071,7.164586576,0.522140505,2891.877772,630.5243014,3750.568299,6642.446071,7164.586576,522.1405055,n,1,NA
6,Jungle,14,Unpred,early,wrong,Long,tinkywinky early p,2.902547656,0.829532216,3.717810696,6.620358352,7.026425908,0.406067556,2902.547656,829.5322156,3717.810696,6620.358352,7026.425908,406.0675565,n,1,NA
6,Jungle,15,Unpred,late,wrong,Short,woody late p,2.416450468,0.581170626,3.720609477,6.137059945,6.624616721,0.487556776,2416.450468,581.1706257,3720.609477,6137.059945,6624.616721,487.5567756,n,1,NA
6,Jungle,16,Unpred,late,right,Short,snowwhite late t,2.564615094,0.860361806,3.705811125,6.270426219,6.621686865,0.351260646,2564.615094,860.3618061,3705.811125,6270.426219,6621.686865,351.2606459,y,1,NA
6,Jungle,17,Unpred,late,wrong,Short,swiper late t,2.423955387,0.675372202,3.766596823,6.19055221,6.952976161,0.762423951,2423.955387,675.372202,3766.596823,6190.55221,6952.976161,762.4239514,n,1,NA
6,Jungle,18,Unpred,early,right,Long,cinderella early p,2.614068887,0.767016368,3.743436131,6.357505018,6.883225852,0.525720834,2614.068887,767.0163678,3743.436131,6357.505018,6883.225852,525.7208342,y,1,NA
6,Jungle,19,Unpred,early,right,Long,princessholly early t,2.640921003,0.625918183,3.718316829,6.359237831,6.842158764,0.482920933,2640.921003,625.9181826,3718.316829,6359.237831,6842.158764,482.9209327,y,1,NA
6,Jungle,20,Unpred,early,wrong,Short,anna early t,2.429431423,0.704048327,3.89297064,6.322402063,6.67428677,0.351884707,2429.431423,704.0483268,3892.97064,6322.402063,6674.28677,351.884707,n,1,NA
