Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
41,Jungle,21,Pred,late,wrong,Short,laalaa late_t,2.61448837,0.700475967,3.672654596,6.287142966,6.830694778,0.543551812,2614.48837,700.4759671,3672.654596,6287.142966,6830.694778,543.5518117,n,1,
41,Jungle,22,Pred,early,right,Short,woody early t,2.328932623,0.670020679,3.637898616,5.966831238,6.805247738,0.8384165,2328.932623,670.0206786,3637.898616,5966.831238,6805.247738,838.4164997,y,1,
41,Jungle,23,Pred,early,right,Short,laalaa early t,2.662067496,0.637114286,3.738251127,6.400318623,10.25449913,3.854180502,2662.067496,637.1142864,3738.251127,6400.318623,10254.49913,3854.180502,y,1,
41,Jungle,24,Pred,early,wrong,Short,noddy early t,2.363323424,0.686884137,3.729009702,6.092333126,6.495493981,0.403160855,2363.323424,686.8841374,3729.009702,6092.333126,6495.493981,403.1608552,n,1,
42,Beach,1,Unpred,early,right,Short,chase_early_p,2.341856148,0.86778333,3.714207046,6.056063194,6.827075525,0.771012331,2341.856148,867.78333,3714.207046,6056.063194,6827.075525,771.0123305,y,1,
42,Beach,2,Unpred,early,right,Long,daddypig_early_p,2.691773095,0.782398489,3.692559136,6.384332231,6.940332899,0.556000669,2691.773095,782.3984886,3692.559136,6384.332231,6940.332899,556.0006686,y,1,
42,Beach,3,Unpred,late,wrong,Long,mummypig_late_t,2.700804835,0.764833531,3.687685642,6.388490477,7.252964226,0.864473749,2700.804835,764.8335309,3687.685642,6388.490477,7252.964226,864.4737486,n,1,
42,Beach,4,Unpred,late,right,Long,mickeymouse_late_t,2.707895166,0.939343407,3.710083519,6.417978685,7.100239035,0.68226035,2707.895166,939.3434073,3710.083519,6417.978685,7100.239035,682.2603497,y,1,
42,Beach,5,Unpred,late,wrong,Long,daddypig_late_t,2.642951696,0.676462608,3.711730091,6.354681787,7.644288076,1.289606289,2642.951696,676.4626076,3711.730091,6354.681787,7644.288076,1289.606289,n,1,
42,Beach,6,Unpred,early,right,Short,belle_early_t,2.389039529,0.772137704,3.821959751,6.21099928,6.825700879,0.614701599,2389.039529,772.1377038,3821.959751,6210.99928,6825.700879,614.7015989,y,1,
