Subj,Group,Condition,Pred,Match,Start Time,Onset of 1st syllable in character name ,NameLength,Time to respond ,Start time - time to respond,Onset of 1st syllable - time to respond,RT,Response?
3,Adults,1,Pred,Same,1476.2,5425.7,1153,6792.7,5316.5,1367,214,
3,Adults,1,Pred,Same,1661,5366.8,948,6511.3,4850.3,1144.5,196.5,
3,Adults,1,Pred,Same,1424.2,5605.7,715,6503.4,5079.2,897.7,182.7,
3,Adults,1,Pred,Same,1478.6,5456.4,1768,7337.3,5858.7,1880.9,112.9,
3,Adults,1,Pred,Same,1670.2,5395.7,1329,6705,5034.8,1309.3,-19.7,
4,Adults,1,Pred,Same,1646.1,5320,555,6380.9,4734.8,1060.9,505.9,
4,Adults,1,Pred,Same,1375.8,5760.8,742,6769.8,5394,1009,267,
4,Adults,1,Pred,Same,1669.3,5259.3,927,6435.8,4766.5,1176.5,249.5,
4,Adults,1,Pred,Same,1471.8,5535.6,399,6179.5,4707.7,643.9,244.9,
4,Adults,1,Pred,Same,1439.1,5295.3,891,6429.7,4990.6,1134.4,243.4,
4,Adults,1,Pred,Same,1463.3,5423.9,707,6356.4,4893.1,932.5,225.5,
4,Adults,1,Pred,Same,1482,5225.6,399,5838.9,4356.9,613.3,214.3,
4,Adults,1,Pred,Same,1640.1,5269.2,824,6253.3,4613.2,984.1,160.1,
4,Adults,1,Pred,Same,1478.3,5316.9,863,6338.7,4860.4,1021.8,158.8,
4,Adults,1,Pred,Same,1468.1,5389.9,788,6314.8,4846.7,924.9,136.9,
4,Adults,1,Pred,Same,1496.7,5512.1,1269,6914.2,5417.5,1402.1,133.1,
4,Adults,1,Pred,Same,1503.7,5622.2,715,6393.7,4890,771.5,56.5,
4,Adults,1,Pred,Same,1481.8,5432.9,1153,6636.1,5154.3,1203.2,50.2,
4,Adults,1,Pred,Same,1621.9,5243.7,810,6094.6,4472.7,850.9,40.9,
4,Adults,1,Pred,Same,1669.9,5451.9,681,6171,4501.1,719.1,38.1,
4,Adults,1,Pred,Same,1652.8,5198.6,539,5771,4118.2,572.4,33.4,
4,Adults,1,Pred,Same,1436.6,5398.9,775,6197.7,4761.1,798.8,23.8,
4,Adults,1,Pred,Same,0,5376,447,5817.6,5817.6,441.6,-5.4,
4,Adults,1,Pred,Same,1477.3,5430.5,1768,7185.1,5707.8,1754.6,-13.4,
4,Adults,1,Pred,Same,1491,5438.4,1009,6423.1,4932.1,984.7,-24.3,
4,Adults,1,Pred,Same,1656.7,5261.6,647,5867.1,4210.4,605.5,-41.5,
4,Adults,1,Pred,Same,1485.1,5428.6,959,6336.4,4851.3,907.8,-51.2,
4,Adults,1,Pred,Same,1655.4,5373.2,948,6179.1,4523.7,805.9,-142.1,
4,Adults,1,Pred,Same,1631.4,5374.6,1329,6557.5,4926.1,1182.9,-146.1,
5,Adults,1,Pred,Same,1500.9,5462.1,707,9195.8,7694.9,3733.7,,
5,Adults,1,Pred,Same,1677.9,5289.6,647,7125.6,5447.7,1836,1189,
5,Adults,1,Pred,Same,1438.8,5184.5,399,6702.5,5263.7,1518,1119,
5,Adults,1,Pred,Same,1476.5,5332.3,863,7112.7,5636.2,1780.4,917.4,
5,Adults,1,Pred,Same,1672,5318.3,555,6676.2,5004.2,1357.9,802.9,
5,Adults,1,Pred,Same,1470.4,5438.8,775,6972.9,5502.5,1534.1,759.1,
5,Adults,1,Pred,Same,1482.6,5580.8,399,6731,5248.4,1150.2,751.2,
5,Adults,1,Pred,Same,1491.3,5504.8,1269,7508.7,6017.4,2003.9,734.9,
5,Adults,1,Pred,Same,1668.7,5322.8,810,6864.6,5195.9,1541.8,731.8,
5,Adults,1,Pred,Same,1497.9,5327.3,891,6915.2,5417.3,1587.9,696.9,
5,Adults,1,Pred,Same,1698.6,5296.7,927,6826.3,5127.7,1529.6,602.6,
5,Adults,1,Pred,Same,1470.8,5415.5,788,6732.1,5261.3,1316.6,528.6,
5,Adults,1,Pred,Same,1496.6,5765.8,742,7027.2,5530.6,1261.4,519.4,
5,Adults,1,Pred,Same,1647.4,5373.7,948,6839.1,5191.7,1465.4,517.4,
5,Adults,1,Pred,Same,1480.6,5419.2,1768,7695.3,6214.7,2276.1,508.1,
5,Adults,1,Pred,Same,1683.6,5258.4,824,6566.4,4882.8,1308,484,
5,Adults,1,Pred,Same,1497.4,5452.8,1009,6939.3,5441.9,1486.5,477.5,
5,Adults,1,Pred,Same,1500.3,5461.9,1153,7043.5,5543.2,1581.6,428.6,
5,Adults,1,Pred,Same,1508,5388.3,447,6219.5,4711.5,831.2,384.2,
5,Adults,1,Pred,Same,1685.1,5420.3,1329,7105.5,5420.4,1685.2,356.2,
5,Adults,1,Pred,Same,1678.3,5210.5,539,6086.2,4407.9,875.7,336.7,
5,Adults,1,Pred,Same,1478.9,5316.2,715,6336.5,4857.6,1020.3,305.3,
5,Adults,1,Pred,Same,1672.8,5452.2,681,6425.1,4752.3,972.9,291.9,
5,Adults,1,Pred,Same,1477.6,5508.7,959,6726.7,5249.1,1218,259,
6,Adults,1,Pred,Same,1487.2,5504.7,1269,8011.7,6524.5,2507,1238,
6,Adults,1,Pred,Same,1482.8,5447.3,775,7059.5,5576.7,1612.2,837.2,
6,Adults,1,Pred,Same,1477.6,5340.6,715,6835.3,5357.7,1494.7,779.7,
6,Adults,1,Pred,Same,1675.5,5236.7,539,6523.4,4847.9,1286.7,747.7,
6,Adults,1,Pred,Same,1476.5,5217.8,399,6335.2,4858.7,1117.4,718.4,
6,Adults,1,Pred,Same,1495.5,5590.7,399,6690.5,5195,1099.8,700.8,
6,Adults,1,Pred,Same,1437.8,5305.6,863,6858.1,5420.3,1552.5,689.5,
6,Adults,1,Pred,Same,1495.2,5441.1,1009,7122.7,5627.5,1681.6,672.6,
6,Adults,1,Pred,Same,1469.4,5387.6,788,6832.1,5362.7,1444.5,656.5,
6,Adults,1,Pred,Same,1680.2,5452.3,681,6756.6,5076.4,1304.3,623.3,
6,Adults,1,Pred,Same,1476.3,5374.5,447,6439,4962.7,1064.5,617.5,
6,Adults,1,Pred,Same,1495.1,5764.7,742,7123.9,5628.8,1359.2,617.2,
6,Adults,1,Pred,Same,1670.1,5334.1,555,6463.3,4793.2,1129.2,574.2,
6,Adults,1,Pred,Same,1497.3,5323.7,891,6783.2,5285.9,1459.5,568.5,
