Participant,Condition,Pred,Match,Length Type,Start Time,Onset of 1st syllable in character name ,Time to say character name ,Time to respond ,Start time - time to respond,Onset of 1st syllable - time to respond,Onset of 1st syllable - time to say character name - response time,Start Time ms,Onset of 1st syllable in character name ms,Response Time,Time to Say Character Name,Start time - time to respond ms,Onset of 1st syllable - time to respond ms,RTms,Response?,Disfluent?,Incorrect?
1,1,Pred,Match,Short,1.495591655,5.55759608,0.399,6.60058315,5.104991495,1.04298707,0.64398707,1495.591655,5557.59608,6600.58315,399,5104.991495,1042.98707,643.9870701,Yes,,
1,1,Pred,Match,Long,1.647179754,5.374670387,0.948,6.351703279,4.704523524,0.977032891,0.029032891,1647.179754,5374.670387,6351.703279,948,4704.523524,977.0328913,29.03289126,Yes,,
1,1,Pred,Match,Long,1.649096908,5.271154984,0.927,6.386584233,4.737487324,1.115429248,0.188429248,1649.096908,5271.154984,6386.584233,927,4737.487324,1115.429248,188.4292484,Yes,,
1,1,Pred,Match,Long,1.673644412,5.296828234,0.824,6.333171278,4.659526866,1.036343044,0.212343044,1673.644412,5296.828234,6333.171278,824,4659.526866,1036.343044,212.3430444,Yes,,
1,1,Pred,Match,Short,1.669143502,5.349510234,0.555,6.446090092,4.776946589,1.096579857,0.541579857,1669.143502,5349.510234,6446.090092,555,4776.946589,1096.579857,541.5798574,Yes,,
1,1,Pred,Match,Short,1.477314165,5.755426778,0.742,6.89376863,5.416454464,1.138341851,0.396341851,1477.314165,5755.426778,6893.76863,742,5416.454464,1138.341851,396.3418513,Yes,,
1,1,Pred,Match,Long,1.633668113,5.330202621,0.81,6.42715855,4.793490437,1.096955929,0.286955929,1633.668113,5330.202621,6427.15855,810,4793.490437,1096.955929,286.9559291,Yes,,
1,1,Pred,Match,Long,1.47988437,5.301587228,0.891,7.061457804,5.581573433,1.759870575,0.868870575,1479.88437,5301.587228,7061.457804,891,5581.573433,1759.870575,868.8705753,Yes,,
1,1,Pred,Match,Long,1.498613763,5.506787943,1.269,7.062198819,5.563585057,1.555410876,0.286410876,1498.613763,5506.787943,7062.198819,1269,5563.585057,1555.410876,286.4108761,Yes,,
1,1,Pred,Match,Short,1.657334144,5.456158778,0.681,6.581380252,4.924046108,1.125221474,0.444221474,1657.334144,5456.158778,6581.380252,681,4924.046108,1125.221474,444.2214738,Yes,,
1,1,Pred,Match,Short,1.507790167,5.469246044,1.009,6.715699553,5.207909386,1.246453508,0.237453508,1507.790167,5469.246044,6715.699553,1009,5207.909386,1246.453508,237.4535084,Yes,,
1,1,Pred,Match,Short,1.458943804,5.423443245,0.775,7.08300115,5.624057346,1.659557905,0.884557905,1458.943804,5423.443245,7083.00115,775,5624.057346,1659.557905,884.5579054,Yes,,
1,1,Pred,Match,Short,1.48241748,5.438728907,0.707,6.884410348,5.401992868,1.445681442,0.738681442,1482.41748,5438.728907,6884.410348,707,5401.992868,1445.681442,738.6814418,Yes,,
1,1,Pred,Match,Long,1.526626416,5.480011539,1.768,7.55859547,6.031969055,2.078583931,0.310583931,1526.626416,5480.011539,7558.59547,1768,6031.969055,2078.583931,310.5839311,Yes,,
1,1,Pred,Match,Long,1.476581497,5.433471499,1.153,6.713020774,5.236439277,1.279549275,0.126549275,1476.581497,5433.471499,6713.020774,1153,5236.439277,1279.549275,126.549275,Yes,,
1,1,Pred,Match,Short,1.63851423,5.224195119,0.647,6.547888972,4.909374742,1.323693853,0.676693853,1638.51423,5224.195119,6547.888972,647,4909.374742,1323.693853,676.6938525,Yes,,
1,1,Pred,Match,Short,1.47836203,5.359721067,0.447,6.746553691,5.268191662,1.386832624,0.939832624,1478.36203,5359.721067,6746.553691,447,5268.191662,1386.832624,939.8326241,Yes,,
1,2,Unpred,Match,Long,1.663481567,5.37028958,0.804,7.295979235,5.632497667,1.925689654,1.121689654,1663.481567,5370.28958,7295.979235,804,5632.497667,1925.689654,1121.689654,No,,
1,2,Unpred,Match,Short,1.669567207,5.225652687,0.651,6.415470761,4.745903554,1.189818074,0.538818074,1669.567207,5225.652687,6415.470761,651,4745.903554,1189.818074,538.818074,No,,
1,2,Unpred,Match,Short,1.501746432,5.425287538,0.725,6.676495528,5.174749096,1.25120799,0.52620799,1501.746432,5425.287538,6676.495528,725,5174.749096,1251.20799,526.2079903,No,,
1,2,Unpred,Match,Short,1.493751018,5.193887317,0.445,6.248330303,4.754579285,1.054442987,0.609442987,1493.751018,5193.887317,6248.330303,445,4754.579285,1054.442987,609.4429866,No,,
1,2,Unpred,Match,Long,1.477448887,5.331575263,0.923,6.704580192,5.227131305,1.373004929,0.450004929,1477.448887,5331.575263,6704.580192,923,5227.131305,1373.004929,450.0049288,No,,
1,2,Unpred,Match,Long,1.484183785,5.574817704,1.273,7.065313052,5.581129267,1.490495348,0.217495348,1484.183785,5574.817704,7065.313052,1273,5581.129267,1490.495348,217.4953477,No,,
1,2,Unpred,Match,Long,1.490736317,5.428605299,0.86,6.6086833,5.117946983,1.180078001,0.320078001,1490.736317,5428.605299,6608.6833,860,5117.946983,1180.078001,320.0780011,No,,
1,2,Unpred,Match,Long,1.512975277,5.179133835,0.98,6.854148363,5.341173086,1.675014528,0.695014528,1512.975277,5179.133835,6854.148363,980,5341.173086,1675.014528,695.0145278,No,,
1,2,Unpred,Match,Long,1.634760796,5.359299794,1.302,7.642958742,6.008197946,2.283658948,0.981658948,1634.760796,5359.299794,7642.958742,1302,6008.197946,2283.658948,981.6589479,No,,
1,2,Unpred,Match,Short,1.481993783,5.265348428,0.553,6.507447459,5.025453676,1.242099031,0.689099031,1481.993783,5265.348428,6507.447459,553,5025.453676,1242.099031,689.0990307,No,,
1,2,Unpred,Match,Short,1.475940647,5.553073145,0.531,6.283641354,4.807700707,0.730568209,0.199568209,1475.940647,5553.073145,6283.641354,531,4807.700707,730.5682091,199.5682091,No,,
1,2,Unpred,Match,Short,1.501785146,5.353339482,0.595,8.530356895,7.02857175,3.177017414,2.582017414,1501.785146,5353.339482,8530.356895,595,7028.57175,3177.017414,2582.017414,Yes,,
1,2,Unpred,Match,Long,1.491255981,5.439090171,1.177,6.966620737,5.475364756,1.527530566,0.350530566,1491.255981,5439.090171,6966.620737,1177,5475.364756,1527.530566,350.5305656,No,,
1,2,Unpred,Match,Short,1.506609666,5.284965526,0.551,6.217125689,4.710516022,0.932160163,0.381160163,1506.609666,5284.965526,6217.125689,551,4710.516022,932.1601628,381.1601628,No,,
1,2,Unpred,Match,Long,1.648073696,5.356918448,1.108,6.707693502,5.059619806,1.350775054,0.242775054,1648.073696,5356.918448,6707.693502,1108,5059.619806,1350.775054,242.7750542,No,,
1,2,Unpred,Match,Long,1.466701572,5.607816489,1.229,7.152937003,5.68623543,1.545120514,0.316120514,1466.701572,5607.816489,7152.937003,1229,5686.23543,1545.120514,316.1205136,No,,
1,2,Unpred,Match,Short,1.478522786,5.344614285,0.558,6.806732416,5.328209631,1.462118131,0.904118131,1478.522786,5344.614285,6806.732416,558,5328.209631,1462.118131,904.1181309,No,,
1,2,Unpred,Match,Short,1.484810032,5.126162183,0.572,6.64382389,5.159013858,1.517661707,0.945661707,1484.810032,5126.162183,6643.82389,572,5159.013858,1517.661707,945.6617071,No,,
1,3,Pred,Mismatch,Short,1.462370822,5.180803753,0.445,6.03302425,4.570653428,0.852220497,0.407220497,1462.370822,5180.803753,6033.02425,445,4570.653428,852.220497,407.220497,Yes,,
1,3,Pred,Mismatch,Short,1.496042711,5.558960952,0.399,6.420505933,4.924463223,0.861544981,0.462544981,1496.042711,5558.960952,6420.505933,399,4924.463223,861.5449815,462.5449815,Yes,,
1,3,Pred,Mismatch,Short,1.468775707,5.755198917,0.742,6.723930563,5.255154856,0.968731646,0.226731646,1468.775707,5755.198917,6723.930563,742,5255.154856,968.7316455,226.7316455,Yes,,
1,3,Pred,Mismatch,Short,1.675451041,5.33780869,0.555,6.26414675,4.588695709,0.92633806,0.37133806,1675.451041,5337.80869,6264.14675,555,4588.695709,926.3380605,371.3380605,Yes,,
1,3,Pred,Mismatch,Short,1.489185382,5.418652443,0.725,7.190484864,5.701299482,1.77183242,1.04683242,1489.185382,5418.652443,7190.484864,725,5701.299482,1771.83242,1046.83242,Yes,,
1,3,Pred,Mismatch,Short,1.477336205,5.212759048,0.651,6.272611165,4.795274959,1.059852116,0.408852116,1477.336205,5212.759048,6272.611165,651,4795.274959,1059.852116,408.8521162,Yes,,
1,3,Pred,Mismatch,Short,1.670616982,5.464730898,0.775,7.122899202,5.452282219,1.658168304,0.883168304,1670.616982,5464.730898,7122.899202,775,5452.282219,1658.168304,883.1683038,Yes,,
1,3,Pred,Mismatch,Short,1.486702364,5.459125826,1.009,6.653149063,5.166446699,1.194023237,0.185023237,1486.702364,5459.125826,6653.149063,1009,5166.446699,1194.023237,185.023237,Yes,,
1,3,Pred,Mismatch,Short,1.480077626,5.460928087,0.681,7.050454949,5.570377324,1.589526863,0.908526863,1480.077626,5460.928087,7050.454949,681,5570.377324,1589.526863,908.5268625,Yes,,
1,3,Pred,Mismatch,Short,1.481385113,5.476833521,0.531,6.801554578,5.320169465,1.324721057,0.793721057,1481.385113,5476.833521,6801.554578,531,5320.169465,1324.721057,793.721057,Yes,,
