Participant,Condition,Pred,Match,Length Type,Start Time,Onset of 1st syllable in character name ,Time to say character name ,Time to respond ,Start time - time to respond,Onset of 1st syllable - time to respond,Onset of 1st syllable - time to say character name - response time,Start Time ms,Onset of 1st syllable in character name ms,Response Time,Time to Say Character Name,Start time - time to respond ms,Onset of 1st syllable - time to respond ms,RTms,Response?,Disfluent?,Incorrect?
1,1,Pred,Match,Long,1.478070408,5.501201053,6.428864673,0.959,4.950794265,0.92766362,-0.03133638,1478.070408,5501.201053,6428.864673,959,4950.794265,927.6636197,-31.33638035,Yes,,
1,1,Pred,Match,Short,1.639806228,5.184957724,5.735323901,0.539,4.095517673,0.550366176,0.011366176,1639.806228,5184.957724,5735.323901,539,4095.517673,550.3661764,11.36617643,Yes,,
1,1,Pred,Match,Short,1.627434942,5.299382875,5.88199122,0.555,4.254556278,0.582608345,0.027608345,1627.434942,5299.382875,5881.99122,555,4254.556278,582.6083449,27.60834494,Yes,,
1,1,Pred,Match,Long,1.641774549,5.38248737,6.740930477,1.329,5.099155928,1.358443107,0.029443107,1641.774549,5382.48737,6740.930477,1329,5099.155928,1358.443107,29.44310707,Yes,,
1,1,Pred,Match,Long,1.444135822,5.402524101,6.588445867,1.153,5.144310045,1.185921766,0.032921766,1444.135822,5402.524101,6588.445867,1153,5144.310045,1185.921766,32.92176612,Yes,,
1,1,Pred,Match,Short,1.450484626,5.257867093,6.096708207,0.715,4.64622358,0.838841114,0.123841114,1450.484626,5257.867093,6096.708207,715,4646.22358,838.8411141,123.8411141,Yes,,
1,1,Pred,Match,Short,1.623170164,5.419013962,6.233332326,0.681,4.610162162,0.814318363,0.133318363,1623.170164,5419.013962,6233.332326,681,4610.162162,814.3183632,133.3183632,Yes,,
1,1,Pred,Match,Long,1.62508944,5.34318793,6.46844022,0.948,4.84335078,1.12525229,0.17725229,1625.08944,5343.18793,6468.44022,948,4843.35078,1125.25229,177.25229,Yes,,
1,1,Pred,Match,Long,1.626029064,5.255616004,6.330580777,0.824,4.704551712,1.074964773,0.250964773,1626.029064,5255.616004,6330.580777,824,4704.551712,1074.964773,250.964773,Yes,,
1,1,Pred,Match,Short,1.472087546,5.727933943,6.788567195,0.742,5.316479649,1.060633252,0.318633252,1472.087546,5727.933943,6788.567195,742,5316.479649,1060.633252,318.6332522,Yes,,
1,1,Pred,Match,Long,1.450811318,5.323056041,6.552888867,0.863,5.10207755,1.229832827,0.366832827,1450.811318,5323.056041,6552.888867,863,5102.07755,1229.832827,366.8328267,Yes,,
1,1,Pred,Match,Short,1.463405359,5.513550017,6.402863507,0.399,4.939458148,0.88931349,0.49031349,1463.405359,5513.550017,6402.863507,399,4939.458148,889.3134901,490.3134901,No,,
1,1,Pred,Match,Short,1.475814226,5.433436084,6.694810824,0.707,5.218996598,1.261374739,0.554374739,1475.814226,5433.436084,6694.810824,707,5218.996598,1261.374739,554.3747392,Yes,,
1,1,Pred,Match,Short,1.450777176,5.415266888,6.824625026,0.775,5.37384785,1.409358138,0.634358138,1450.777176,5415.266888,6824.625026,775,5373.84785,1409.358138,634.3581379,Yes,,
1,1,Pred,Match,Short,1.514325676,5.391138342,6.481520801,0.447,4.967195125,1.090382459,0.643382459,1514.325676,5391.138342,6481.520801,447,4967.195125,1090.382459,643.382459,Yes,,
1,1,Pred,Match,Long,1.485648524,5.505429254,7.590795334,1.269,6.10514681,2.085366081,0.816366081,1485.648524,5505.429254,7590.795334,1269,6105.14681,2085.366081,816.3660807,Yes,,
1,1,Pred,Match,Long,1.470660606,5.285911762,7.767342525,0.891,6.29668192,2.481430764,1.590430764,1470.660606,5285.911762,7767.342525,891,6296.68192,2481.430764,1590.430764,Yes,,
1,2,Unpred,Match,Long,1.457095733,5.544128544,6.579390159,1.273,5.122294426,1.035261615,-0.237738385,1457.095733,5544.128544,6579.390159,1273,5122.294426,1035.261615,-237.738385,No,,
1,2,Unpred,Match,Long,1.482518683,5.425146578,6.682830745,1.177,5.200312062,1.257684167,0.080684167,1482.518683,5425.146578,6682.830745,1177,5200.312062,1257.684167,80.68416713,No,,
1,2,Unpred,Match,Long,1.463679028,5.378556549,6.408787475,0.86,4.945108448,1.030230927,0.170230927,1463.679028,5378.556549,6408.787475,860,4945.108448,1030.230927,170.2309266,No,,
1,2,Unpred,Match,Long,1.445225371,5.274618994,6.501594936,0.923,5.056369564,1.226975942,0.303975942,1445.225371,5274.618994,6501.594936,923,5056.369564,1226.975942,303.9759422,No,,
1,2,Unpred,Match,Long,1.621596833,5.354041695,6.538273492,0.861,4.91667666,1.184231798,0.323231798,1621.596833,5354.041695,6538.273492,861,4916.67666,1184.231798,323.2317976,No,,
1,2,Unpred,Match,Short,1.441382212,5.236214741,6.115071539,0.553,4.673689327,0.878856797,0.325856797,1441.382212,5236.214741,6115.071539,553,4673.689327,878.8567974,325.8567974,No,,
1,2,Unpred,Match,Short,1.461597032,5.332724948,6.216586743,0.558,4.754989711,0.883861795,0.325861795,1461.597032,5332.724948,6216.586743,558,4754.989711,883.8617952,325.8617952,No,,
1,2,Unpred,Match,Long,1.493386496,5.148208762,6.535502209,0.98,5.042115713,1.387293447,0.407293447,1493.386496,5148.208762,6535.502209,980,5042.115713,1387.293447,407.2934473,No,,
1,2,Unpred,Match,Short,1.484034768,5.595281908,6.585425198,0.469,5.101390431,0.99014329,0.52114329,1484.034768,5595.281908,6585.425198,469,5101.390431,990.1432904,521.1432904,Yes,,
